Date,Open,High,Low,Close,Adj Close,Volume
2023-04-25,3.471000,3.471000,3.314000,3.330000,3.269850,87322178
2023-04-26,3.282000,3.319000,3.221500,3.294000,3.234500,57782513
2023-04-27,3.283000,3.300500,3.244000,3.283000,3.283000,55516512
2023-04-28,3.250000,3.268000,3.126000,3.186500,3.186500,125395501
2023-05-02,3.181500,3.216000,3.093500,3.104000,3.104000,93505892
2023-05-03,3.131500,3.147000,3.092000,3.120000,3.120000,141786887
2023-05-04,3.105500,3.124500,3.038500,3.057000,3.057000,61102930
2023-05-05,3.070000,3.164000,3.062000,3.149000,3.149000,67680769
2023-05-08,3.163500,3.207500,3.159500,3.187000,3.187000,16677302
2023-05-09,3.171500,3.206000,3.147000,3.185000,3.185000,23043855
2023-05-10,3.212000,3.234500,3.135000,3.143500,3.143500,27350971
2023-05-11,3.154000,3.168000,3.083000,3.139000,3.139000,29663864
2023-05-12,3.155500,3.180500,3.139000,3.142500,3.142500,23564547
2023-05-15,3.170000,3.177500,3.119500,3.148000,3.148000,17650166
2023-05-16,3.117500,3.174000,3.117500,3.139500,3.139500,17437130
2023-05-17,3.110000,3.158000,3.102000,3.158000,3.158000,17768701
2023-05-18,3.139500,3.196500,3.135500,3.175500,3.175500,24923291
2023-05-19,3.198500,3.240000,3.173000,3.200000,3.200000,54179289
2023-05-22,3.182000,3.247500,3.178500,3.229500,3.229500,20330420
2023-05-23,3.229000,3.233000,3.201000,3.225000,3.225000,15538892
2023-05-24,3.193000,3.202000,3.128000,3.141500,3.141500,24533674
2023-05-25,3.132000,3.170500,3.086500,3.155000,3.155000,35511664
2023-05-26,3.166500,3.199000,3.086500,3.197000,3.197000,22852653
2023-05-29,3.235000,3.237000,3.123000,3.142500,3.142500,13799208
2023-05-30,3.140000,3.180000,3.095500,3.110500,3.110500,28045978
2023-05-31,3.080000,3.140000,3.040500,3.045000,3.045000,69180578
2023-06-01,3.084500,3.125000,3.071000,3.114500,3.114500,23998491
2023-06-02,3.140000,3.220500,3.118000,3.210000,3.210000,26818508
2023-06-05,3.229500,3.250000,3.162000,3.183000,3.183000,22412353
2023-06-06,3.173500,3.211000,3.142500,3.209000,3.209000,20810145
2023-06-07,3.225000,3.245000,3.172500,3.211000,3.211000,17772409
2023-06-08,3.235500,3.270000,3.200500,3.227000,3.227000,22981423
2023-06-09,3.230000,3.236500,3.168000,3.201500,3.201500,17889217
2023-06-12,3.213000,3.233000,3.162000,3.189000,3.189000,41438495
2023-06-13,3.200000,3.206000,3.145000,3.192000,3.192000,26021976
2023-06-14,3.192000,3.281000,3.190000,3.250000,3.250000,36036915
2023-06-15,3.220500,3.222000,3.182000,3.194000,3.194000,38630516
2023-06-16,3.210000,3.255000,3.183000,3.220500,3.220500,112135601
2023-06-19,3.200000,3.256000,3.196000,3.212000,3.212000,17185761
2023-06-20,3.205000,3.220500,3.186000,3.193000,3.193000,20753360
2023-06-21,3.196500,3.236500,3.193000,3.204000,3.204000,20967493
2023-06-22,3.170000,3.170000,3.104000,3.156000,3.156000,26456612
2023-06-23,3.123000,3.137000,3.065500,3.066000,3.066000,46016334
2023-06-26,3.065000,3.098000,3.006500,3.083500,3.083500,26657465
2023-06-27,3.110000,3.201500,3.110000,3.195500,3.195500,35283059
2023-06-28,3.210000,3.310000,3.205000,3.310000,3.310000,55703627
2023-06-29,3.320000,3.349000,3.301500,3.341500,3.341500,34889161
2023-06-30,3.370000,3.441000,3.367000,3.385000,3.385000,64611012
2023-07-03,3.394500,3.445000,3.386500,3.440000,3.440000,37876288
2023-07-04,3.449500,3.470000,3.372000,3.380500,3.380500,23349851
2023-07-05,3.350000,3.371500,3.330000,3.347500,3.347500,24988934
2023-07-06,3.311000,3.319500,3.226500,3.244500,3.244500,28791137
2023-07-07,3.244500,3.283500,3.217500,3.264000,3.264000,21310700
2023-07-10,3.250500,3.307000,3.250500,3.276000,3.276000,16123070
2023-07-11,3.290000,3.338000,3.261500,3.334500,3.334500,17722005
2023-07-12,3.342500,3.473500,3.342500,3.473500,3.473500,57887645
2023-07-13,3.460000,3.517500,3.433000,3.490500,3.490500,36329276
2023-07-14,3.490000,3.534000,3.456000,3.460500,3.460500,28331703
2023-07-17,3.438500,3.500000,3.420500,3.448500,3.448500,15777798
2023-07-18,3.464000,3.514000,3.432000,3.510000,3.510000,17919382
2023-07-19,3.530000,3.551000,3.464000,3.498000,3.498000,17841799
2023-07-20,3.488500,3.541500,3.486000,3.525000,3.525000,22612682
2023-07-21,3.526000,3.547500,3.473000,3.528500,3.528500,28121501
2023-07-24,3.430000,3.520000,3.411500,3.520000,3.520000,22717433
2023-07-25,3.530000,3.547000,3.510000,3.538000,3.538000,17151031
2023-07-26,3.538000,3.655000,3.513000,3.649000,3.649000,68036296
2023-07-27,3.655000,3.719000,3.615000,3.708000,3.708000,75696611
2023-07-28,3.692500,3.742000,3.652500,3.677500,3.677500,42564955
2023-07-31,3.686500,3.708000,3.675000,3.683500,3.683500,24836675
2023-08-01,3.678500,3.698000,3.588000,3.599000,3.599000,23019304
2023-08-02,3.542000,3.584000,3.505000,3.527500,3.527500,50280184
